GenomeA	GenomeB	Mean_AAI
Halomonas chromatireducens AGD 8-3	Moraxella boevrei DSM 14165	51.65
Halomonas chromatireducens AGD 8-3	Luminiphilus syltensis NOR5-1B	54.08
Halomonas chromatireducens AGD 8-3	Marinobacter psychrophilus 20041	57.62
Halomonas chromatireducens AGD 8-3	Marinobacter daepoensis DSM 16072	57.41
Halomonas chromatireducens AGD 8-3	Halomonas korlensis CGMCC 1.6981	76.86
Halomonas chromatireducens AGD 8-3	Pseudomonas benzenivorans DSM 8628	56.65
Halomonas chromatireducens AGD 8-3	Reinekea blandensis MED297	54.71
Halomonas chromatireducens AGD 8-3	Thalassolituus oleivorans MIL-1	55.18
Halomonas chromatireducens AGD 8-3	Moraxella macacae 408225	51.80
Halomonas chromatireducens AGD 8-3	Neptunomonas japonica DSM 18939	55.66
Halomonas chromatireducens AGD 8-3	Acinetobacter kookii ANC 4667	52.66
Halomonas chromatireducens AGD 8-3	Balneatrix alpica DSM 16621	56.54
Halomonas chromatireducens AGD 8-3	Pseudomonas yangmingensis DSM 24213	57.23
Halomonas chromatireducens AGD 8-3	Marinospirillum minutulum DSM 6287	58.91
Halomonas chromatireducens AGD 8-3	Zhongshania aliphaticivorans SM2	55.43
Halomonas chromatireducens AGD 8-3	Pseudospirillum japonicum DSM 7165	59.29
Halomonas chromatireducens AGD 8-3	Marinobacter daqiaonensis CGMCC 1.9167	58.03
Halomonas chromatireducens AGD 8-3	Kangiella geojedonensis YCS-5	53.36
Halomonas chromatireducens AGD 8-3	Oceanospirillum multiglobuliferum ATCC 33336	58.49
Halomonas chromatireducens AGD 8-3	Pseudomonas lutea DSM 17257	56.16
Halomonas chromatireducens AGD 8-3	Endozoicomonas elysicola DSM 22380	55.12
Halomonas chromatireducens AGD 8-3	Marinobacterium litorale DSM 23545	57.01
Halomonas chromatireducens AGD 8-3	Pseudomonas alcaligenes NEB 585	56.83
Halomonas chromatireducens AGD 8-3	Oceanospirillum linum ATCC 11336	58.59
Halomonas chromatireducens AGD 8-3	Pseudomonas thermotolerans DSM 14292	56.99
